,error,type,id,key,value,action
457,deprecated,node,1319896151,power,sub_station,update_tag
458,deprecated,node,1319896355,power,sub_station,update_tag
459,deprecated,node,1319896788,power,sub_station,update_tag
460,deprecated,node,1320076793,power,sub_station,update_tag
461,deprecated,node,1326278713,building,entrance,update_tag
462,deprecated,node,1326278717,building,entrance,update_tag
463,deprecated,node,1326278729,building,entrance,update_tag
464,deprecated,node,1326278730,building,entrance,update_tag
465,deprecated,node,1326278739,building,entrance,update_tag
466,deprecated,node,1326278746,building,entrance,update_tag
467,deprecated,node,1326278752,building,entrance,update_tag
468,deprecated,node,1329651539,power,sub_station,update_tag
469,deprecated,node,1330658210,power,sub_station,update_tag
470,deprecated,node,1330863268,power,sub_station,update_tag
471,deprecated,node,1338489420,power,sub_station,update_tag
472,deprecated,node,1347078170,power,sub_station,update_tag
473,deprecated,node,1347078220,power,sub_station,update_tag
474,deprecated,node,1348059247,power,sub_station,update_tag
475,deprecated,node,1354700056,power,sub_station,update_tag
476,deprecated,node,1354713205,power,sub_station,update_tag
477,deprecated,node,1356111417,power,sub_station,update_tag
478,deprecated,node,1356283370,power,sub_station,update_tag
479,deprecated,node,1356298996,power,sub_station,update_tag
480,deprecated,node,1356474003,power,sub_station,update_tag
481,deprecated,node,1356814501,power,sub_station,update_tag
482,deprecated,node,1356814669,power,sub_station,update_tag
483,deprecated,node,1356837714,power,sub_station,update_tag
484,deprecated,node,1364161215,building,entrance,update_tag
485,deprecated,node,1364161230,building,entrance,update_tag
486,deprecated,node,1364161240,building,entrance,update_tag
487,deprecated,node,1364161290,building,entrance,update_tag
488,deprecated,node,1364161297,building,entrance,update_tag
489,deprecated,node,1364161307,building,entrance,update_tag
490,deprecated,node,1364161313,building,entrance,update_tag
491,deprecated,node,1364161318,building,entrance,update_tag
492,deprecated,node,1364161321,building,entrance,update_tag
493,deprecated,node,1364639332,power,sub_station,update_tag
494,deprecated,node,1364639518,power,sub_station,update_tag
495,deprecated,node,1364673710,power,sub_station,update_tag
496,deprecated,node,1364674184,power,sub_station,update_tag
497,deprecated,node,1364674296,power,sub_station,update_tag
498,deprecated,node,1364674390,power,sub_station,update_tag
499,deprecated,node,1370925249,power,sub_station,update_tag
500,deprecated,node,1370925589,power,sub_station,update_tag
501,deprecated,node,1371259026,power,sub_station,update_tag
502,deprecated,node,1376720421,wood,yes,update_tag
503,deprecated,node,1378920535,power,sub_station,update_tag
504,deprecated,node,1378988397,power,sub_station,update_tag
505,deprecated,node,1388259469,power,sub_station,update_tag
506,deprecated,node,1388260292,power,sub_station,update_tag
507,deprecated,node,1389258482,power,sub_station,update_tag
508,deprecated,node,1389936834,power,sub_station,update_tag
509,deprecated,node,1398592828,power,sub_station,update_tag
510,deprecated,node,1398593224,power,sub_station,update_tag
511,deprecated,node,1407040787,power,sub_station,update_tag
512,deprecated,node,1422191537,power,sub_station,update_tag
513,deprecated,node,1422297690,power,sub_station,update_tag
514,deprecated,node,1429814853,power,sub_station,update_tag
515,deprecated,node,1445484964,power,sub_station,update_tag
516,deprecated,node,1455227245,building,entrance,update_tag
517,deprecated,node,1469239835,power,sub_station,update_tag
518,deprecated,node,1479315182,power,sub_station,update_tag
519,deprecated,node,1500288919,power,sub_station,update_tag
520,deprecated,node,1539243206,power,sub_station,update_tag
521,deprecated,node,1579346392,power,sub_station,update_tag
522,deprecated,node,1579359156,power,sub_station,update_tag
523,deprecated,node,1579450234,power,sub_station,update_tag
524,deprecated,node,1579450496,power,sub_station,update_tag
525,deprecated,node,1579741957,power,sub_station,update_tag
526,deprecated,node,1580653727,power,sub_station,update_tag
527,deprecated,node,1580653849,power,sub_station,update_tag
528,deprecated,node,1580654337,power,sub_station,update_tag
529,deprecated,node,1580762613,power,sub_station,update_tag
530,deprecated,node,1580762746,power,sub_station,update_tag
531,deprecated,node,1580762901,power,sub_station,update_tag
532,deprecated,node,1582305486,power,sub_station,update_tag
533,deprecated,node,1582352229,power,sub_station,update_tag
534,deprecated,node,1582352237,power,sub_station,update_tag
535,deprecated,node,1582352356,power,sub_station,update_tag
536,deprecated,node,1582842054,power,sub_station,update_tag
537,deprecated,node,1589544622,power,sub_station,update_tag
538,deprecated,node,1589608938,power,sub_station,update_tag
539,deprecated,node,1589797956,power,sub_station,update_tag
540,deprecated,node,1589807306,power,sub_station,update_tag
